age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,last_contact_day
50.0,management,d,tertiary,no,318.0,yes,no,unknown,788.0,2.0,-1.0,0.0,unknown,135.0
30.0,management,s,tertiary,no,13763.0,no,no,cellular,313.0,3.0,-1.0,0.0,unknown,229.0
34.0,technician,m,secondary,no,-173.0,no,no,cellular,85.0,2.0,-1.0,0.0,unknown,239.0
51.0,admin.,m,tertiary,no,0.0,yes,yes,cellular,124.0,2.0,-1.0,0.0,unknown,66.0
30.0,services,s,tertiary,no,1785.0,no,no,cellular,108.0,2.0,-1.0,0.0,unknown,219.0
38.0,admin.,m,secondary,no,599.0,yes,no,cellular,331.0,2.0,-1.0,0.0,unknown,34.0
42.0,housemaid,m,tertiary,no,0.0,no,no,cellular,112.0,10.0,-1.0,0.0,unknown,237.0
30.0,blue-collar,m,secondary,no,363.0,yes,no,cellular,165.0,1.0,-1.0,0.0,unknown,33.0
38.0,technician,s,secondary,no,0.0,no,no,cellular,124.0,4.0,-1.0,0.0,unknown,231.0
27.0,self-employed,s,secondary,no,23.0,yes,no,cellular,291.0,1.0,-1.0,0.0,unknown,127.0
44.0,blue-collar,m,primary,no,1066.0,yes,no,unknown,25.0,1.0,-1.0,0.0,unknown,153.0
30.0,admin.,s,secondary,no,270.0,no,no,cellular,123.0,1.0,-1.0,0.0,unknown,39.0
38.0,technician,m,tertiary,no,-255.0,yes,yes,cellular,63.0,1.0,-1.0,0.0,unknown,204.0
36.0,management,m,primary,no,22856.0,no,no,unknown,1098.0,1.0,-1.0,0.0,unknown,159.0
31.0,technician,s,secondary,no,391.0,no,no,cellular,336.0,2.0,-1.0,0.0,unknown,224.0
58.0,retired,m,secondary,no,502.0,yes,no,cellular,197.0,2.0,370.0,3.0,failure,131.0
26.0,student,s,tertiary,no,0.0,yes,no,unknown,124.0,1.0,-1.0,0.0,unknown,147.0
47.0,blue-collar,m,primary,no,1092.0,no,yes,unknown,41.0,8.0,-1.0,0.0,unknown,149.0
50.0,technician,m,secondary,no,1765.0,yes,no,unknown,247.0,2.0,-1.0,0.0,unknown,162.0
19.0,student,s,primary,no,103.0,no,no,cellular,177.0,2.0,95.0,4.0,failure,17.0
31.0,blue-collar,m,secondary,no,1407.0,yes,no,cellular,142.0,3.0,-1.0,0.0,unknown,125.0
55.0,blue-collar,m,primary,no,1101.0,no,no,unknown,744.0,3.0,-1.0,0.0,unknown,168.0
54.0,housemaid,m,primary,no,5048.0,no,no,unknown,163.0,1.0,-1.0,0.0,unknown,168.0
34.0,blue-collar,s,secondary,yes,-369.0,yes,no,unknown,353.0,2.0,-1.0,0.0,unknown,142.0
60.0,retired,m,secondary,no,3932.0,yes,no,unknown,407.0,2.0,-1.0,0.0,unknown,133.0
33.0,technician,s,tertiary,no,0.0,no,no,cellular,56.0,2.0,-1.0,0.0,unknown,239.0
54.0,retired,m,primary,no,2243.0,no,no,unknown,281.0,1.0,-1.0,0.0,unknown,162.0
45.0,admin.,d,unknown,no,998.0,yes,no,telephone,38.0,2.0,-1.0,0.0,unknown,210.0
43.0,admin.,s,secondary,no,375.0,no,yes,cellular,163.0,4.0,-1.0,0.0,unknown,201.0
59.0,blue-collar,m,primary,no,0.0,no,no,cellular,167.0,2.0,-1.0,0.0,unknown,321.0
34.0,management,m,secondary,no,29.0,no,yes,cellular,94.0,2.0,-1.0,0.0,unknown,197.0
39.0,blue-collar,m,primary,no,50.0,no,no,cellular,147.0,2.0,-1.0,0.0,unknown,196.0
34.0,services,m,secondary,no,-99.0,yes,yes,cellular,258.0,2.0,-1.0,0.0,unknown,126.0
41.0,admin.,m,unknown,no,488.0,no,no,cellular,174.0,1.0,-1.0,0.0,unknown,324.0
32.0,blue-collar,s,secondary,no,1143.0,yes,yes,cellular,412.0,1.0,-1.0,0.0,unknown,190.0
31.0,admin.,m,secondary,no,-474.0,yes,no,unknown,215.0,2.0,-1.0,0.0,unknown,131.0
40.0,management,m,secondary,no,9047.0,yes,no,cellular,527.0,1.0,95.0,2.0,other,324.0
60.0,retired,m,tertiary,no,1336.0,no,no,unknown,324.0,1.0,-1.0,0.0,unknown,168.0
31.0,services,s,secondary,no,125.0,no,no,cellular,360.0,1.0,-1.0,0.0,unknown,32.0
43.0,blue-collar,m,secondary,no,4309.0,yes,no,unknown,43.0,15.0,-1.0,0.0,unknown,152.0
27.0,blue-collar,s,tertiary,no,644.0,no,no,cellular,657.0,1.0,182.0,1.0,success,152.0
32.0,student,s,secondary,no,329.0,yes,no,cellular,237.0,1.0,-1.0,0.0,unknown,106.0
63.0,management,m,tertiary,no,0.0,no,no,cellular,130.0,2.0,182.0,6.0,failure,284.0
33.0,technician,s,tertiary,no,316.0,no,no,cellular,126.0,3.0,-1.0,0.0,unknown,232.0
39.0,retired,m,primary,no,2600.0,no,no,cellular,443.0,2.0,82.0,3.0,success,33.0
26.0,blue-collar,s,secondary,no,18.0,yes,no,cellular,579.0,3.0,-1.0,0.0,unknown,208.0
59.0,management,s,secondary,no,671.0,yes,yes,cellular,219.0,2.0,259.0,5.0,failure,28.0
30.0,housemaid,m,primary,no,462.0,no,yes,cellular,274.0,3.0,-1.0,0.0,unknown,210.0
69.0,retired,m,secondary,no,148.0,no,no,telephone,101.0,1.0,-1.0,0.0,unknown,246.0
28.0,blue-collar,m,secondary,no,2322.0,no,no,cellular,82.0,4.0,-1.0,0.0,unknown,188.0
46.0,services,m,secondary,no,2948.0,no,no,cellular,893.0,1.0,-1.0,0.0,unknown,324.0
27.0,blue-collar,m,secondary,no,1295.0,yes,no,cellular,1106.0,1.0,-1.0,0.0,unknown,133.0
49.0,admin.,m,secondary,no,0.0,yes,yes,unknown,50.0,3.0,-1.0,0.0,unknown,153.0
48.0,technician,m,secondary,no,93.0,no,no,cellular,537.0,2.0,-1.0,0.0,unknown,204.0
32.0,technician,s,unknown,no,10600.0,no,no,unknown,485.0,2.0,-1.0,0.0,unknown,133.0
51.0,self-employed,m,secondary,yes,34.0,no,yes,cellular,200.0,1.0,-1.0,0.0,unknown,187.0
34.0,student,s,tertiary,no,1322.0,no,no,cellular,170.0,3.0,-1.0,0.0,unknown,237.0
42.0,admin.,m,primary,no,-466.0,no,yes,telephone,94.0,15.0,-1.0,0.0,unknown,211.0
40.0,unemployed,m,secondary,no,1289.0,no,no,cellular,260.0,2.0,-1.0,0.0,unknown,145.0
26.0,self-employed,s,secondary,no,551.0,no,no,cellular,531.0,1.0,-1.0,0.0,unknown,188.0
46.0,services,m,secondary,no,379.0,no,no,unknown,886.0,2.0,-1.0,0.0,unknown,161.0
19.0,student,s,secondary,no,526.0,no,no,cellular,122.0,3.0,-1.0,0.0,unknown,347.0
48.0,retired,m,primary,no,5173.0,yes,no,unknown,88.0,8.0,-1.0,0.0,unknown,168.0
34.0,management,m,tertiary,no,1725.0,yes,yes,cellular,164.0,7.0,-1.0,0.0,unknown,208.0
27.0,blue-collar,s,secondary,no,1.0,yes,no,cellular,320.0,2.0,-1.0,0.0,unknown,198.0
53.0,technician,m,secondary,no,6.0,yes,no,unknown,517.0,1.0,-1.0,0.0,unknown,124.0
56.0,entrepreneur,m,tertiary,no,16125.0,no,no,telephone,202.0,2.0,167.0,1.0,failure,126.0
31.0,management,m,secondary,no,0.0,no,no,cellular,120.0,2.0,160.0,2.0,failure,28.0
44.0,technician,d,secondary,no,752.0,yes,no,unknown,363.0,3.0,-1.0,0.0,unknown,149.0
34.0,services,m,secondary,no,1637.0,yes,no,cellular,107.0,4.0,-1.0,0.0,unknown,324.0
31.0,services,m,secondary,no,-68.0,yes,no,unknown,293.0,4.0,-1.0,0.0,unknown,145.0
41.0,admin.,s,secondary,no,-109.0,yes,yes,cellular,1038.0,1.0,370.0,1.0,failure,130.0
31.0,services,s,secondary,no,211.0,no,no,cellular,226.0,2.0,-1.0,0.0,unknown,28.0
42.0,technician,s,tertiary,no,2625.0,no,no,cellular,2516.0,2.0,-1.0,0.0,unknown,209.0
33.0,services,m,secondary,no,-384.0,yes,no,cellular,125.0,1.0,-1.0,0.0,unknown,189.0
49.0,management,m,secondary,no,321.0,no,no,unknown,135.0,3.0,-1.0,0.0,unknown,159.0
51.0,technician,d,secondary,no,7928.0,yes,no,cellular,124.0,1.0,-1.0,0.0,unknown,323.0
48.0,management,d,tertiary,no,5978.0,no,no,cellular,58.0,1.0,-1.0,0.0,unknown,27.0
45.0,entrepreneur,m,secondary,no,128.0,no,yes,cellular,275.0,2.0,-1.0,0.0,unknown,321.0
40.0,management,s,tertiary,no,185.0,no,no,cellular,173.0,4.0,-1.0,0.0,unknown,240.0
38.0,admin.,m,secondary,no,11303.0,no,no,cellular,473.0,2.0,216.0,2.0,failure,361.0
33.0,technician,s,tertiary,no,119.0,no,yes,cellular,202.0,3.0,-1.0,0.0,unknown,201.0
31.0,management,s,tertiary,no,130.0,yes,no,cellular,155.0,1.0,-1.0,0.0,unknown,124.0
37.0,technician,d,secondary,no,-230.0,yes,yes,unknown,224.0,2.0,-1.0,0.0,unknown,147.0
30.0,admin.,s,secondary,no,705.0,yes,no,unknown,235.0,1.0,-1.0,0.0,unknown,154.0
27.0,services,s,secondary,no,3354.0,yes,no,cellular,493.0,5.0,-1.0,0.0,unknown,133.0
57.0,management,d,tertiary,no,52.0,yes,no,cellular,40.0,3.0,359.0,8.0,other,127.0
48.0,blue-collar,m,primary,no,680.0,yes,no,unknown,387.0,4.0,-1.0,0.0,unknown,134.0
43.0,admin.,s,secondary,no,-495.0,yes,yes,unknown,131.0,1.0,-1.0,0.0,unknown,142.0
53.0,entrepreneur,m,tertiary,no,49.0,no,yes,cellular,419.0,5.0,-1.0,0.0,unknown,203.0
61.0,management,m,tertiary,no,0.0,yes,yes,cellular,158.0,1.0,115.0,2.0,failure,90.0
39.0,admin.,d,tertiary,no,1176.0,no,no,cellular,327.0,1.0,-1.0,0.0,unknown,52.0
33.0,management,s,tertiary,no,7419.0,yes,no,cellular,21.0,8.0,331.0,0.0,failure,134.0
39.0,services,m,primary,no,1601.0,yes,no,unknown,201.0,2.0,-1.0,0.0,unknown,142.0
33.0,technician,d,secondary,no,273.0,yes,no,cellular,181.0,1.0,317.0,1.0,failure,106.0
50.0,management,m,tertiary,no,1859.0,no,no,cellular,85.0,5.0,-1.0,0.0,unknown,222.0
